,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,4000,4,None,amazon_p,0.9212,0.003420526275297417,164.60814497066258
1,roberta-base,0,4000,4,None,copa,0.7091999999999998,0.016161683080669554,523.7837187515036
2,roberta-base,0,4000,4,None,emotion,0.49420000000000003,0.009615092303249105,126.3192927228095
3,roberta-base,0,4000,4,None,figqa,0.5990859232175503,0.004118420594540727,542.6504931687807
4,roberta-base,0,4000,4,None,mrpc,0.6805797101449276,0.06432954434124558,743.6926018873243
5,roberta-base,0,4000,4,None,storycloze,0.6803719008264464,0.074768699408982,439.36788510979403
6,roberta-base,0,4000,4,None,yahoo,0.3882,0.0208254651808789,230.69473844868034
