,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,40000,5,None,amazon_p,0.9200800000000001,0.009246621004453472,156.38657758518158
1,roberta-base,0,40000,5,None,copa,0.70808,0.011485643212288975,539.6845148880478
2,roberta-base,0,40000,5,None,emotion,0.48206,0.03807348158495622,127.88768635658869
3,roberta-base,0,40000,5,None,figqa,0.5994881170018281,0.01611162430153753,552.7351482411258
4,roberta-base,0,40000,5,None,mrpc,0.6140521739130435,0.05439911782523529,720.3119635423869
5,roberta-base,0,40000,5,None,storycloze,0.7914876033057852,0.03199945678625064,421.1354350147194
6,roberta-base,0,40000,5,None,yahoo,0.37052,0.030335457801061772,229.61668336976123
7,roberta-base,32,40000,5,None,amazon_p,0.91964,0.005667450926121906,155.50745225911948
8,roberta-base,32,40000,5,None,copa,0.70344,0.012165525060596434,538.5099317747012
9,roberta-base,32,40000,5,None,emotion,0.47553999999999996,0.03775142381420865,127.66938960990305
10,roberta-base,32,40000,5,None,figqa,0.603144424131627,0.01423437980109455,550.8829338752982
11,roberta-base,32,40000,5,None,mrpc,0.606631884057971,0.0742053894509454,713.6806939061823
12,roberta-base,32,40000,5,None,storycloze,0.7912809917355371,0.031144595477719736,423.0117949994982
13,roberta-base,32,40000,5,None,yahoo,0.36576,0.03299302956686456,228.62722301829552
14,roberta-base,200,40000,5,None,amazon_p,0.9216000000000001,0.008551023330572788,156.40862354468868
15,roberta-base,200,40000,5,None,copa,0.7043999999999999,0.014176036117335476,532.5969585721173
16,roberta-base,200,40000,5,None,emotion,0.47226,0.043201909680012994,127.15164173277057
17,roberta-base,200,40000,5,None,figqa,0.6039488117001828,0.014572000947064722,547.6465637165139
18,roberta-base,200,40000,5,None,mrpc,0.6200347826086957,0.06672778546825278,716.9701770108808
19,roberta-base,200,40000,5,None,storycloze,0.7858677685950413,0.026149222655795255,419.4048068431657
20,roberta-base,200,40000,5,None,yahoo,0.37604000000000004,0.02951813002207287,228.73135299999126
21,roberta-base,500,40000,5,None,amazon_p,0.9210799999999999,0.007714920608794371,155.83558962620282
22,roberta-base,500,40000,5,None,copa,0.7091999999999999,0.011520416659131725,537.260067322499
23,roberta-base,500,40000,5,None,emotion,0.47119999999999995,0.02413037504888807,126.87397947464945
24,roberta-base,500,40000,5,None,figqa,0.6053016453382084,0.010898616863465365,551.0504025482936
25,roberta-base,500,40000,5,None,mrpc,0.6120347826086957,0.06082372324848969,713.3974522221195
26,roberta-base,500,40000,5,None,storycloze,0.7899173553719009,0.02966009660318407,419.9345234984471
27,roberta-base,500,40000,5,None,yahoo,0.3796,0.02682088738278433,228.84130620492064
28,roberta-base,1000,40000,5,None,amazon_p,0.9222800000000001,0.0077948701079620375,156.3321933474647
29,roberta-base,1000,40000,5,None,copa,0.70544,0.012006664815842897,538.7472460055184
30,roberta-base,1000,40000,5,None,emotion,0.4854200000000001,0.04391116031261302,127.31251702393983
31,roberta-base,1000,40000,5,None,figqa,0.6028153564899451,0.015535003168312175,549.4992010435465
32,roberta-base,1000,40000,5,None,mrpc,0.6068869565217392,0.057914175033555185,715.8907804520884
33,roberta-base,1000,40000,5,None,storycloze,0.791900826446281,0.026774340510021945,425.2537214376727
34,roberta-base,1000,40000,5,None,yahoo,0.37363999999999997,0.02929300257740745,228.3331646134787
35,roberta-base,full,40000,5,None,amazon_p,0.91956,0.010927030703718199,156.70849482823633
36,roberta-base,full,40000,5,None,copa,0.71136,0.012319090875547594,529.5834738651372
37,roberta-base,full,40000,5,None,emotion,0.47702,0.040227602463979883,126.63136944325376
38,roberta-base,full,40000,5,None,figqa,0.603802559414991,0.013808914115195215,550.922115088363
39,roberta-base,full,40000,5,None,mrpc,0.6030608695652174,0.05997717132047097,713.8937358690189
40,roberta-base,full,40000,5,None,storycloze,0.7913636363636364,0.03371189258090559,419.3404679856535
41,roberta-base,full,40000,5,None,yahoo,0.37163999999999997,0.028194325670247898,229.28723625813336
