,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,50000,5,None,amazon_p,0.87712,0.01467242311276497,52.26640305997332
1,roberta-large,0,50000,5,None,copa,0.7843199999999999,0.010707007051459327,287.65267020610924
2,roberta-large,0,50000,5,None,emotion,0.43746,0.032644907719275314,66.40245355198917
3,roberta-large,0,50000,5,None,figqa,0.670237659963437,0.015864433920831648,285.73788735820693
4,roberta-large,0,50000,5,None,mrpc,0.7112347826086957,0.008224940938034296,257.82345392505624
5,roberta-large,0,50000,5,None,storycloze,0.8633057851239669,0.013480514362147656,144.9235848801133
6,roberta-large,0,50000,5,None,yahoo,0.43244,0.010616967551989594,119.61305052345915
7,roberta-large,32,50000,5,None,amazon_p,0.89336,0.03557049338988708,52.205119409268015
8,roberta-large,32,50000,5,None,copa,0.78472,0.009042123644365845,287.80197907003406
9,roberta-large,32,50000,5,None,emotion,0.42821999999999993,0.04208717144213899,66.42349286016902
10,roberta-large,32,50000,5,None,figqa,0.6786471663619744,0.015322173723618642,279.586883698544
11,roberta-large,32,50000,5,None,mrpc,0.7111188405797101,0.007308027598524962,257.98189884537186
12,roberta-large,32,50000,5,None,storycloze,0.8661157024793388,0.013637146233491113,144.70864815544167
13,roberta-large,32,50000,5,None,yahoo,0.42884,0.012014158314255721,119.539609572679
14,roberta-large,200,50000,5,None,amazon_p,0.8820399999999999,0.024356108063481728,52.16002973193984
15,roberta-large,200,50000,5,None,copa,0.78384,0.009230384607371451,287.26967820711224
16,roberta-large,200,50000,5,None,emotion,0.44232000000000005,0.03513331752055305,66.38375002656625
17,roberta-large,200,50000,5,None,figqa,0.673162705667276,0.017097878906784606,285.1362440931677
18,roberta-large,200,50000,5,None,mrpc,0.7095884057971015,0.01047367951643053,257.54904663045767
19,roberta-large,200,50000,5,None,storycloze,0.8644628099173554,0.01358225553654509,144.7994772482524
20,roberta-large,200,50000,5,None,yahoo,0.42832,0.01185917366429887,119.54902326003294
21,roberta-large,500,50000,5,None,amazon_p,0.8849600000000001,0.03666633333181816,51.98907511737313
22,roberta-large,500,50000,5,None,copa,0.78448,0.008930845424706435,286.17301594286494
23,roberta-large,500,50000,5,None,emotion,0.43635999999999997,0.04317400838467515,66.36655763470345
24,roberta-large,500,50000,5,None,figqa,0.6681170018281536,0.018249057072853767,280.52761834027024
25,roberta-large,500,50000,5,None,mrpc,0.711072463768116,0.007221987943140844,259.06117860641143
26,roberta-large,500,50000,5,None,storycloze,0.8597520661157025,0.006786804837048289,144.6930296371234
27,roberta-large,500,50000,5,None,yahoo,0.42756,0.010967223896684152,119.54584502455626
28,roberta-large,1000,50000,5,None,amazon_p,0.8986799999999999,0.05568141521189991,52.25230742853854
29,roberta-large,1000,50000,5,None,copa,0.7811999999999999,0.010788883167408935,286.84103920122755
30,roberta-large,1000,50000,5,None,emotion,0.42688,0.04038768376621763,66.42054198483443
31,roberta-large,1000,50000,5,None,figqa,0.6751005484460695,0.01995201607271677,281.3679745714432
32,roberta-large,1000,50000,5,None,mrpc,0.7100521739130434,0.009889114266221443,258.00758100162585
33,roberta-large,1000,50000,5,None,storycloze,0.864090909090909,0.01209427965198945,145.64166239424824
34,roberta-large,1000,50000,5,None,yahoo,0.43251999999999996,0.010620734437881403,119.69055060606266
35,roberta-large,full,50000,5,None,amazon_p,0.89008,0.033999117635609304,51.93559395617642
36,roberta-large,full,50000,5,None,copa,0.7842399999999999,0.008694826047713662,283.0224689374519
37,roberta-large,full,50000,5,None,emotion,0.41812000000000005,0.045934409760004534,66.33184853537436
38,roberta-large,full,50000,5,None,figqa,0.6750274223034735,0.019621803093233994,282.2841967652639
39,roberta-large,full,50000,5,None,mrpc,0.7103072463768115,0.00952419838975669,257.07842071053625
40,roberta-large,full,50000,5,None,storycloze,0.8635537190082646,0.012255567211225895,145.35569716074534
41,roberta-large,full,50000,5,None,yahoo,0.43344000000000005,0.01010643359449811,119.25826759394515
