,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,40000,5,None,amazon_p,0.9500399999999999,0.005124451190127566,52.08917292075148
1,roberta-large,0,40000,5,None,copa,0.8301599999999999,0.010209799214480184,284.89763129910517
2,roberta-large,0,40000,5,None,emotion,0.47192,0.050607114124399534,65.74385234333276
3,roberta-large,0,40000,5,None,figqa,0.7097989031078611,0.019158578360594855,279.6348274164378
4,roberta-large,0,40000,5,None,mrpc,0.7084985507246376,0.01046533369796625,256.9224593795532
5,roberta-large,0,40000,5,None,storycloze,0.9063223140495869,0.006512362608460531,144.93628704145453
6,roberta-large,0,40000,5,None,yahoo,0.46168000000000003,0.028152086956387455,118.42376645535106
7,roberta-large,32,40000,5,None,amazon_p,0.94872,0.00369323706252386,52.09638992808681
8,roberta-large,32,40000,5,None,copa,0.8266399999999999,0.011713240371477068,281.43293652728124
9,roberta-large,32,40000,5,None,emotion,0.49416000000000004,0.036971610730396905,65.53136714546493
10,roberta-large,32,40000,5,None,figqa,0.716782449725777,0.01731976516815347,278.79729659532757
11,roberta-large,32,40000,5,None,mrpc,0.7070840579710145,0.008534546227601629,257.66847987583276
12,roberta-large,32,40000,5,None,storycloze,0.9052892561983471,0.007589987887075155,145.31417967308178
13,roberta-large,32,40000,5,None,yahoo,0.46556,0.021036159345279748,118.44973784402612
