,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,5000,5,"samsum,wikilingua,offensive,massive",amazon_p,0.914,,166.0583711860119
1,roberta-base,0,5000,5,"samsum,wikilingua,offensive,massive",copa,0.734,,704.4677891425767
2,roberta-base,0,5000,5,"samsum,wikilingua,offensive,massive",emotion,0.4945,,169.10385768496212
3,roberta-base,0,5000,5,"samsum,wikilingua,offensive,massive",figqa,0.6188299817184644,,727.7225354467025
4,roberta-base,0,5000,5,"samsum,wikilingua,offensive,massive",mrpc,0.664927536231884,,731.7225375020253
5,roberta-base,0,5000,5,"samsum,wikilingua,offensive,massive",storycloze,0.8150826446280992,,487.29773486981685
6,roberta-base,0,5000,5,"samsum,wikilingua,offensive,massive",yahoo,0.198,,300.2219558448789
