,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,5000,5,None,amazon_p,0.9465999999999999,0.00743639697703129,52.79530372088391
1,roberta-large,0,5000,5,None,copa,0.8168,0.010639548862616267,146.56922713763407
2,roberta-large,0,5000,5,None,emotion,0.4429,0.050596936666165854,66.91183475408118
3,roberta-large,0,5000,5,None,figqa,0.7120658135283364,0.009321790701266541,149.38851298510306
4,roberta-large,0,5000,5,None,mrpc,0.7181449275362319,0.019703323627824215,236.43182227366282
5,roberta-large,0,5000,5,None,storycloze,0.9208677685950413,0.003974252905303972,126.96584889196575
6,roberta-large,0,5000,5,None,yahoo,0.499,0.004795831523312723,120.32825040934492
7,roberta-large,32,5000,5,None,amazon_p,0.9498,0.003420526275297417,52.354211573638715
8,roberta-large,32,5000,5,None,copa,0.8128,0.009011104260855005,146.4763822584592
9,roberta-large,32,5000,5,None,emotion,0.4237,0.039578403201746264,66.84191849129834
10,roberta-large,32,5000,5,None,figqa,0.7179159049360146,0.008417451139467185,149.27094713968654
11,roberta-large,32,5000,5,None,mrpc,0.703536231884058,0.019746769042773785,232.33392310117574
12,roberta-large,32,5000,5,None,storycloze,0.9190082644628099,0.0043584758491175485,127.73828920964797
13,roberta-large,32,5000,5,None,yahoo,0.502,0.004847679857416333,120.61223991839158
14,roberta-large,200,5000,5,None,amazon_p,0.943,0.004301162633521318,52.948967221509506
15,roberta-large,200,5000,5,None,copa,0.8171999999999999,0.01118928058455945,146.55680701369755
16,roberta-large,200,5000,5,None,emotion,0.4429,0.050596936666165854,66.78114641094156
17,roberta-large,200,5000,5,None,figqa,0.7168190127970749,0.006378920044741478,148.20423320015288
18,roberta-large,200,5000,5,None,mrpc,0.7139710144927536,0.007464541960728052,232.07145436599026
19,roberta-large,200,5000,5,None,storycloze,0.9181818181818182,0.004756555550917931,128.8236075581571
20,roberta-large,200,5000,5,None,yahoo,0.4998,0.0044944410108488505,120.10861879521269
21,roberta-large,500,5000,5,None,amazon_p,0.9437999999999999,0.004604345773288539,53.019892711340745
22,roberta-large,500,5000,5,None,copa,0.8140000000000001,0.015811388300841858,146.48324757323545
23,roberta-large,500,5000,5,None,emotion,0.4606,0.0499367099436877,66.76745924704423
24,roberta-large,500,5000,5,None,figqa,0.7051188299817184,0.0020026418921578375,149.41274857656165
25,roberta-large,500,5000,5,None,mrpc,0.711072463768116,0.016884400071175008,232.57610895701274
26,roberta-large,500,5000,5,None,storycloze,0.9165289256198348,0.004221656351591449,129.66657577657583
27,roberta-large,500,5000,5,None,yahoo,0.5048000000000001,0.004919349550499542,120.01288611564868
28,roberta-large,1000,5000,5,None,amazon_p,0.9481999999999999,0.005263078946776312,52.49133045895862
29,roberta-large,1000,5000,5,None,copa,0.8211999999999999,0.009549869109050627,146.22025891217828
30,roberta-large,1000,5000,5,None,emotion,0.4591,0.04847344633920718,66.82712156922297
31,roberta-large,1000,5000,5,None,figqa,0.7120658135283363,0.009321790701266541,149.37861655267747
32,roberta-large,1000,5000,5,None,mrpc,0.6992463768115942,0.014990860479659083,230.70550972383302
33,roberta-large,1000,5000,5,None,storycloze,0.9185950413223141,0.004921954235360197,128.45382156600448
34,roberta-large,1000,5000,5,None,yahoo,0.4968,0.0017888543819998333,120.38475226093058
35,roberta-large,full,5000,5,None,amazon_p,0.9451999999999998,0.005890670590009261,52.66576181181902
36,roberta-large,full,5000,5,None,copa,0.8184000000000001,0.01608726204175213,145.39526035698958
37,roberta-large,full,5000,5,None,emotion,0.4768,0.039578403201746264,66.33607539643356
38,roberta-large,full,5000,5,None,figqa,0.7157221206581352,0.008377652093155125,148.18463126836093
39,roberta-large,full,5000,5,None,mrpc,0.7162898550724638,0.007328233318520793,231.72240112822948
40,roberta-large,full,5000,5,None,storycloze,0.9208677685950415,0.003150403033466306,127.13413609783133
41,roberta-large,full,5000,5,None,yahoo,0.5034000000000001,0.0051283525619832395,119.11499490638798
