,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,50000,5,None,amazon_p,0.7812,0.06366757416456198,164.52224353816416
1,roberta-base,0,50000,5,None,copa,0.65432,0.015307514494521961,525.8230215628054
2,roberta-base,0,50000,5,None,emotion,0.46728,0.037501533301986474,124.40411116045455
3,roberta-base,0,50000,5,None,figqa,0.576636197440585,0.009499364575332054,539.6332533059424
4,roberta-base,0,50000,5,None,mrpc,0.5798028985507246,0.05204873873139165,745.7917298369146
5,roberta-base,0,50000,5,None,storycloze,0.6929752066115702,0.030310699004607942,444.1721604934376
6,roberta-base,0,50000,5,None,yahoo,0.34128000000000003,0.022731036052058867,222.5998395475762
7,roberta-base,32,50000,5,None,amazon_p,0.76836,0.025044360642667636,164.62121412146112
8,roberta-base,32,50000,5,None,copa,0.6599999999999999,0.017183713219208467,529.3785752806986
9,roberta-base,32,50000,5,None,emotion,0.45296000000000003,0.04760021008357001,124.3387315694119
10,roberta-base,32,50000,5,None,figqa,0.5728336380255941,0.010322189552828596,541.4818042621931
11,roberta-base,32,50000,5,None,mrpc,0.5899130434782609,0.051709105078255976,752.7530638086685
12,roberta-base,32,50000,5,None,storycloze,0.6840082644628099,0.029847685532907467,446.143736589132
13,roberta-base,32,50000,5,None,yahoo,0.34028,0.020604368468846602,222.55572849244285
14,roberta-base,200,50000,5,None,amazon_p,0.78556,0.05188352339616114,164.65624289220256
15,roberta-base,200,50000,5,None,copa,0.65048,0.014178857499812864,526.2524955381252
16,roberta-base,200,50000,5,None,emotion,0.47124,0.03860854827625613,124.45793628419317
17,roberta-base,200,50000,5,None,figqa,0.5756124314442413,0.010335132742305351,539.3999506628239
18,roberta-base,200,50000,5,None,mrpc,0.6003478260869566,0.05430699142256271,751.4049893672147
19,roberta-base,200,50000,5,None,storycloze,0.6786363636363637,0.018854933134793108,443.04055667884614
20,roberta-base,200,50000,5,None,yahoo,0.3336,0.021675792949740043,222.82384065287278
21,roberta-base,500,50000,5,None,amazon_p,0.7839600000000001,0.03914869091042508,164.0491061962789
22,roberta-base,500,50000,5,None,copa,0.6588799999999999,0.015697133496278864,526.5964294275287
23,roberta-base,500,50000,5,None,emotion,0.45474000000000003,0.04488334880554258,124.18070052193816
24,roberta-base,500,50000,5,None,figqa,0.5741499085923217,0.00978958737513001,540.4741105234896
25,roberta-base,500,50000,5,None,mrpc,0.6192463768115942,0.043564899185970875,745.1953469190536
26,roberta-base,500,50000,5,None,storycloze,0.6913636363636364,0.03213756470805445,446.4615574405686
27,roberta-base,500,50000,5,None,yahoo,0.34340000000000004,0.02103758541277967,222.59327624789813
28,roberta-base,1000,50000,5,None,amazon_p,0.78024,0.057825599867186855,164.66753299190245
29,roberta-base,1000,50000,5,None,copa,0.65664,0.017306646122227137,528.246124878225
30,roberta-base,1000,50000,5,None,emotion,0.45578,0.04662778141837761,123.98323755318464
31,roberta-base,1000,50000,5,None,figqa,0.5735283363802559,0.00918908618783341,536.6088567624522
32,roberta-base,1000,50000,5,None,mrpc,0.5891942028985507,0.034911355925068,745.6064092139532
33,roberta-base,1000,50000,5,None,storycloze,0.6914049586776859,0.03135938951419208,443.79112556362026
34,roberta-base,1000,50000,5,None,yahoo,0.33924000000000004,0.01845860233062081,222.2295855187835
35,roberta-base,full,50000,5,None,amazon_p,0.78868,0.050481085566774414,164.17386586080747
36,roberta-base,full,50000,5,None,copa,0.65448,0.018308467986153286,513.716143339142
37,roberta-base,full,50000,5,None,emotion,0.4610200000000001,0.04655222873289743,123.85161257859427
38,roberta-base,full,50000,5,None,figqa,0.576965265082267,0.011288015571506823,537.493819401406
39,roberta-base,full,50000,5,None,mrpc,0.5841855072463769,0.06344370709340882,749.6794884761075
40,roberta-base,full,50000,5,None,storycloze,0.6913223140495868,0.030024151879095812,443.23319269757667
41,roberta-base,full,50000,5,None,yahoo,0.33452000000000004,0.021607868937033103,222.17182127999087
