,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,5000,5,None,amazon_p,0.9202,0.009833615815151625,164.6145853207576
1,roberta-base,0,5000,5,None,copa,0.7348,0.004147288270665548,517.1498246695116
2,roberta-base,0,5000,5,None,emotion,0.4848,0.0334245418816773,122.28438831734107
3,roberta-base,0,5000,5,None,figqa,0.590127970749543,0.008613688474873708,530.1736120108247
4,roberta-base,0,5000,5,None,mrpc,0.6848695652173913,0.005703593681738587,758.934477990215
5,roberta-base,0,5000,5,None,storycloze,0.7169421487603306,0.05768959856090792,433.94953945509485
6,roberta-base,0,5000,5,None,yahoo,0.39499999999999996,0.019798989873223337,222.41545987950627
7,roberta-base,32,5000,5,None,amazon_p,0.9248000000000001,0.00634034699365895,163.6905274476716
8,roberta-base,32,5000,5,None,copa,0.7343999999999999,0.005176871642217918,518.8787671428099
9,roberta-base,32,5000,5,None,emotion,0.4708,0.021913466179497933,122.92996011064346
10,roberta-base,32,5000,5,None,figqa,0.5886654478976234,0.009499364575332092,533.3251499582992
11,roberta-base,32,5000,5,None,mrpc,0.6774492753623189,0.019036219471151108,738.5892390776751
12,roberta-base,32,5000,5,None,storycloze,0.7541322314049587,0.05753677816381949,437.86980456592903
13,roberta-base,32,5000,5,None,yahoo,0.38799999999999996,0.025719642299223373,223.22796408854742
14,roberta-base,200,5000,5,None,amazon_p,0.9204000000000001,0.01089954127475098,164.872936009797
15,roberta-base,200,5000,5,None,copa,0.7352000000000001,0.005761944116355179,521.9328461258953
16,roberta-base,200,5000,5,None,emotion,0.4848,0.0334245418816773,122.61964998519821
17,roberta-base,200,5000,5,None,figqa,0.5539305301645338,0.04426906981474878,528.3682950679564
18,roberta-base,200,5000,5,None,mrpc,0.6677101449275362,0.010542121034214168,738.6577932428036
19,roberta-base,200,5000,5,None,storycloze,0.7328512396694215,0.07747451775634205,447.7484328602974
20,roberta-base,200,5000,5,None,yahoo,0.39640000000000003,0.02064703368525368,221.97165275774472
21,roberta-base,500,5000,5,None,amazon_p,0.915,0.011379806676741051,165.4147212161088
22,roberta-base,500,5000,5,None,copa,0.7323999999999999,0.008294576541331096,516.2768203036601
23,roberta-base,500,5000,5,None,emotion,0.4946,0.03184807686501651,122.46151729681249
24,roberta-base,500,5000,5,None,figqa,0.5941499085923219,0.010013209460789187,526.6440476831231
25,roberta-base,500,5000,5,None,mrpc,0.6745507246376812,0.01663374189592339,740.468505078001
26,roberta-base,500,5000,5,None,storycloze,0.7595041322314049,0.07470729829142687,452.76968877325345
27,roberta-base,500,5000,5,None,yahoo,0.36839999999999995,0.018782971010998253,222.39088158128533
28,roberta-base,1000,5000,5,None,amazon_p,0.9250000000000002,0.0037416573867739447,163.56949687226674
29,roberta-base,1000,5000,5,None,copa,0.7363999999999999,0.004979959839195498,520.3128366369949
30,roberta-base,1000,5000,5,None,emotion,0.4904,0.026838405317753132,122.88039794502065
31,roberta-base,1000,5000,5,None,figqa,0.5901279707495429,0.008613688474873708,530.9445612283805
32,roberta-base,1000,5000,5,None,mrpc,0.6777971014492754,0.016683167634944013,731.0205629699535
33,roberta-base,1000,5000,5,None,storycloze,0.7427685950413223,0.07024793388429751,444.07775050420076
34,roberta-base,1000,5000,5,None,yahoo,0.4034000000000001,0.003130495168499684,222.15218132445366
35,roberta-base,full,5000,5,None,amazon_p,0.922,0.0024494897427831805,164.15697466373211
36,roberta-base,full,5000,5,None,copa,0.7336,0.008294576541331096,515.4299311356664
37,roberta-base,full,5000,5,None,emotion,0.5002000000000001,0.021913466179497933,122.72516035859516
38,roberta-base,full,5000,5,None,figqa,0.5857404021937842,0.0024527253866542757,529.2678952823375
39,roberta-base,full,5000,5,None,mrpc,0.6696811594202898,0.012058807105907088,738.0306556323983
40,roberta-base,full,5000,5,None,storycloze,0.7169421487603305,0.057532140905849974,435.44008226062954
41,roberta-base,full,5000,5,None,yahoo,0.3782,0.02504396134799765,222.95973770567753
