,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,20000,5,None,amazon_p,0.87912,0.022474429914905517,52.77790472444112
1,roberta-large,0,20000,5,None,copa,0.78888,0.010244998779892555,291.2747292354254
2,roberta-large,0,20000,5,None,emotion,0.46785999999999994,0.04020534790298425,66.99243639905978
3,roberta-large,0,20000,5,None,figqa,0.6847531992687386,0.020808451520062565,287.45873981565285
4,roberta-large,0,20000,5,None,mrpc,0.7114202898550726,0.010250547497941822,260.5411608532163
5,roberta-large,0,20000,5,None,storycloze,0.8583884297520662,0.00973269893662304,144.9732980391516
6,roberta-large,0,20000,5,None,yahoo,0.40920000000000006,0.015100993344810128,120.78626535960363
7,roberta-large,32,20000,5,None,amazon_p,0.9016,0.02912730677560148,52.51610342836542
8,roberta-large,32,20000,5,None,copa,0.7931199999999999,0.009732420048477148,290.70542446204223
9,roberta-large,32,20000,5,None,emotion,0.44548,0.05508529749397746,67.05128048563951
10,roberta-large,32,20000,5,None,figqa,0.6853016453382084,0.012700076367794084,287.43762469617315
11,roberta-large,32,20000,5,None,mrpc,0.7087768115942029,0.01211191944873393,260.7770339529171
12,roberta-large,32,20000,5,None,storycloze,0.8610743801652893,0.008996504569040182,146.66040776597742
13,roberta-large,32,20000,5,None,yahoo,0.41204,0.012524376231972584,120.74536472082268
14,roberta-large,200,20000,5,None,amazon_p,0.87576,0.023857493581682043,52.66872938242092
15,roberta-large,200,20000,5,None,copa,0.7913600000000001,0.010166612021711053,291.0983955444067
16,roberta-large,200,20000,5,None,emotion,0.43518,0.03721934980624997,67.17498533089488
17,roberta-large,200,20000,5,None,figqa,0.6891407678244973,0.017373711950410046,285.5850974307707
18,roberta-large,200,20000,5,None,mrpc,0.7127188405797102,0.004944896953538803,261.71659345718325
19,roberta-large,200,20000,5,None,storycloze,0.8599173553719008,0.011285418257871773,146.6925789561892
20,roberta-large,200,20000,5,None,yahoo,0.4142,0.015679923469200982,120.68129023392052
21,roberta-large,500,20000,5,None,amazon_p,0.88332,0.047910750359392205,52.532934074177774
22,roberta-large,500,20000,5,None,copa,0.78992,0.008231646250902658,292.01412578634523
23,roberta-large,500,20000,5,None,emotion,0.43200000000000005,0.05534437640808685,67.10312754592883
24,roberta-large,500,20000,5,None,figqa,0.6857038391224863,0.019846625728762952,282.1493676081144
25,roberta-large,500,20000,5,None,mrpc,0.7076869565217392,0.01231662384147302,259.8950035882528
26,roberta-large,500,20000,5,None,storycloze,0.8577272727272728,0.01104937351828177,145.58134661827177
27,roberta-large,500,20000,5,None,yahoo,0.4074,0.012615070352558476,120.77941256566933
28,roberta-large,1000,20000,5,None,amazon_p,0.8868,0.03242468195680568,52.64467551300512
29,roberta-large,1000,20000,5,None,copa,0.7924,0.008681013765684278,291.65264710331036
30,roberta-large,1000,20000,5,None,emotion,0.43834,0.036478144141389654,67.04724435556399
31,roberta-large,1000,20000,5,None,figqa,0.6862157221206581,0.015837550837706434,282.7603203200345
32,roberta-large,1000,20000,5,None,mrpc,0.7116985507246377,0.010013727188171131,260.7391973182269
33,roberta-large,1000,20000,5,None,storycloze,0.8602479338842975,0.011594204831899348,147.60949900085183
34,roberta-large,1000,20000,5,None,yahoo,0.41256000000000004,0.014722092242612794,120.68467814963851
35,roberta-large,full,20000,5,None,amazon_p,0.8879199999999999,0.039393654311322794,52.73934581982646
36,roberta-large,full,20000,5,None,copa,0.7898400000000001,0.007823042886243185,288.22181448539425
37,roberta-large,full,20000,5,None,emotion,0.44223999999999997,0.047231821900070727,67.07390518841572
38,roberta-large,full,20000,5,None,figqa,0.6820109689213893,0.015665153372040344,286.77992685381656
39,roberta-large,full,20000,5,None,mrpc,0.7131594202898551,0.004842575306772666,261.2568855899794
40,roberta-large,full,20000,5,None,storycloze,0.859504132231405,0.0039473085071369375,145.46903571240156
41,roberta-large,full,20000,5,None,yahoo,0.409,0.013684297570573354,120.54613522379384
