,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,4000,3,None,amazon_p,0.9298,0.003033150177620623,156.41309449884653
1,roberta-base,0,4000,3,None,copa,0.732,0.006782329983125274,523.4694950696851
2,roberta-base,0,4000,3,None,emotion,0.4316,0.009838699100999083,125.07845917983937
3,roberta-base,0,4000,3,None,figqa,0.6051188299817184,0.011250944812697602,541.7176134387516
4,roberta-base,0,4000,3,None,mrpc,0.6426666666666667,0.06706948247855493,707.2446150472517
5,roberta-base,0,4000,3,None,storycloze,0.7417355371900827,0.029708272406091737,412.23270525865803
6,roberta-base,0,4000,3,None,yahoo,0.31320000000000003,0.023562682360037043,226.45870943189593
