,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,3000,5,None,amazon_p,0.9236000000000001,0.005941380311005185,165.3507376657241
1,roberta-base,0,3000,5,None,copa,0.7155999999999999,0.006387487769068531,504.02973472608517
2,roberta-base,0,3000,5,None,emotion,0.4396,0.04351350365116558,121.57849763566239
3,roberta-base,0,3000,5,None,figqa,0.6020109689213895,0.011224922437300704,523.2565377744106
4,roberta-base,0,3000,5,None,mrpc,0.6971594202898551,0.0007777627747825709,760.1537656126409
5,roberta-base,0,3000,5,None,storycloze,0.6888429752066114,0.0723634718953539,430.63356389305
6,roberta-base,0,3000,5,None,yahoo,0.3522,0.027526351011349107,225.8035686822613
7,roberta-base,32,3000,5,None,amazon_p,0.9276,0.002073644135332774,163.78226768445842
8,roberta-base,32,3000,5,None,copa,0.7140000000000001,0.008485281374238578,501.7519844629991
9,roberta-base,32,3000,5,None,emotion,0.4225,0.032422985673746955,121.30105306125908
10,roberta-base,32,3000,5,None,figqa,0.5921389396709323,0.011907582500535321,508.7388357314321
11,roberta-base,32,3000,5,None,mrpc,0.6854492753623189,0.017160791171248177,736.9851420746279
12,roberta-base,32,3000,5,None,storycloze,0.7367768595041322,0.06441676942417716,435.97711307346106
13,roberta-base,32,3000,5,None,yahoo,0.34340000000000004,0.03635656749474571,223.68190257231367
14,roberta-base,200,3000,5,None,amazon_p,0.9231999999999999,0.005761944116355179,165.2128441776494
15,roberta-base,200,3000,5,None,copa,0.7140000000000001,0.008485281374238578,509.2788656870198
16,roberta-base,200,3000,5,None,emotion,0.4396,0.04351350365116558,120.8028903328424
17,roberta-base,200,3000,5,None,figqa,0.5844606946983546,0.019136760134224398,514.9512005014136
18,roberta-base,200,3000,5,None,mrpc,0.6668985507246377,0.01822448641421648,737.1482705649988
19,roberta-base,200,3000,5,None,storycloze,0.7,0.09658566079346592,448.81990596297936
20,roberta-base,200,3000,5,None,yahoo,0.3548,0.029132456127144518,224.4624800624659
21,roberta-base,500,3000,5,None,amazon_p,0.9221999999999999,0.007886697661252148,165.4782409810848
22,roberta-base,500,3000,5,None,copa,0.712,0.009273618495495711,501.94620236452346
23,roberta-base,500,3000,5,None,emotion,0.45410000000000006,0.042416683038634696,120.75042423410063
24,roberta-base,500,3000,5,None,figqa,0.6095063985374771,0.0010013209460789491,512.391990518486
25,roberta-base,500,3000,5,None,mrpc,0.687536231884058,0.019611860665550467,732.0566586402217
26,roberta-base,500,3000,5,None,storycloze,0.734504132231405,0.09762533341122455,452.3273722500433
27,roberta-base,500,3000,5,None,yahoo,0.3154,0.0254911749434976,222.18432900139607
28,roberta-base,1000,3000,5,None,amazon_p,0.9274000000000001,0.004505552130427528,164.13020599211157
29,roberta-base,1000,3000,5,None,copa,0.7171999999999998,0.007949842765740723,501.11507841691434
30,roberta-base,1000,3000,5,None,emotion,0.45149999999999996,0.03970988541912455,120.98567548044332
31,roberta-base,1000,3000,5,None,figqa,0.6020109689213894,0.011224922437300704,511.0010032019072
32,roberta-base,1000,3000,5,None,mrpc,0.673623188405797,0.023512231641360303,724.5885883580779
33,roberta-base,1000,3000,5,None,storycloze,0.7132231404958678,0.08775703317568556,443.81305050569915
34,roberta-base,1000,3000,5,None,yahoo,0.36360000000000003,0.005813776741499458,221.8772114246517
35,roberta-base,full,3000,5,None,amazon_p,0.9279999999999999,0.005291502622129186,164.10747562395494
36,roberta-base,full,3000,5,None,copa,0.7128,0.008318653737234175,505.90920800956775
37,roberta-base,full,3000,5,None,emotion,0.466,0.032422985673746955,121.07536195064957
38,roberta-base,full,3000,5,None,figqa,0.596709323583181,0.012355261783622052,519.6773636456572
39,roberta-base,full,3000,5,None,mrpc,0.6782608695652174,0.023651179291391693,735.7942713962368
40,roberta-base,full,3000,5,None,storycloze,0.6890495867768596,0.07235830994974159,432.5630793523528
41,roberta-base,full,3000,5,None,yahoo,0.3294,0.03508275929855005,223.180420480752
