,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,3000,5,None,amazon_p,0.9479999999999998,0.004949747468305837,50.88972937326052
1,roberta-large,0,3000,5,None,copa,0.8488,0.007293833011524194,144.30937611545235
2,roberta-large,0,3000,5,None,emotion,0.5068,0.02368966019173767,65.4400206657646
3,roberta-large,0,3000,5,None,figqa,0.7418647166361974,0.009062738250782774,147.87342886533287
4,roberta-large,0,3000,5,None,mrpc,0.7176811594202899,0.012962712913042268,229.8093103407091
5,roberta-large,0,3000,5,None,storycloze,0.8886363636363637,0.00313341960497998,123.78514161400831
6,roberta-large,0,3000,5,None,yahoo,0.48,0.0028284271247461927,117.0055654140258
7,roberta-large,32,3000,5,None,amazon_p,0.9456,0.0023021728866442696,50.50325528188152
8,roberta-large,32,3000,5,None,copa,0.8496,0.006841052550594834,145.31500754554668
9,roberta-large,32,3000,5,None,emotion,0.4981,0.019230184606498182,65.57454169972979
10,roberta-large,32,3000,5,None,figqa,0.7473491773308958,0.011446051804386494,147.98949638315594
11,roberta-large,32,3000,5,None,mrpc,0.7079420289855072,0.012919865144571644,225.78130070504113
12,roberta-large,32,3000,5,None,storycloze,0.8913223140495867,0.0011316581766635625,124.62039265962326
13,roberta-large,32,3000,5,None,yahoo,0.4779999999999999,0.0024494897427831805,116.87802895756212
14,roberta-large,200,3000,5,None,amazon_p,0.9461999999999999,0.003033150177620623,51.050206832528296
15,roberta-large,200,3000,5,None,copa,0.8516,0.008876936408468867,145.24345431426156
16,roberta-large,200,3000,5,None,emotion,0.5068,0.023689660191737665,65.45491720951797
17,roberta-large,200,3000,5,None,figqa,0.7431444241316271,0.009209068409328098,147.47025617643794
18,roberta-large,200,3000,5,None,mrpc,0.7139710144927536,0.005688844255233466,225.77945787464296
19,roberta-large,200,3000,5,None,storycloze,0.8871900826446282,0.003960803618322488,125.69719073741291
20,roberta-large,200,3000,5,None,yahoo,0.47919999999999996,0.00268328157299975,117.00669495658894
21,roberta-large,500,3000,5,None,amazon_p,0.9480000000000001,0.00122474487139159,51.11180880706571
22,roberta-large,500,3000,5,None,copa,0.8503999999999999,0.009939818911831351,145.28991930113435
23,roberta-large,500,3000,5,None,emotion,0.5154,0.02364423819876631,65.58959647317026
24,roberta-large,500,3000,5,None,figqa,0.7416819012797073,0.0005006604730395049,148.48632570747324
25,roberta-large,500,3000,5,None,mrpc,0.7108405797101449,0.010558048103326344,226.0813075193107
26,roberta-large,500,3000,5,None,storycloze,0.8884297520661157,0.003184098142029424,126.56493325917442
27,roberta-large,500,3000,5,None,yahoo,0.4772,0.0026832815729997497,117.08674498593538
28,roberta-large,1000,3000,5,None,amazon_p,0.9480000000000001,0.003082207001484491,50.67920108830308
29,roberta-large,1000,3000,5,None,copa,0.8516,0.0038470768123342724,145.74208012641674
30,roberta-large,1000,3000,5,None,emotion,0.5153,0.023552069972722134,65.87011094194966
31,roberta-large,1000,3000,5,None,figqa,0.7418647166361975,0.009062738250782772,148.9511839647858
32,roberta-large,1000,3000,5,None,mrpc,0.7043478260869565,0.009147671790179399,224.61003722278105
33,roberta-large,1000,3000,5,None,storycloze,0.890495867768595,0.004443349828017874,125.34406189662631
34,roberta-large,1000,3000,5,None,yahoo,0.48119999999999996,0.0017888543819998333,117.04571627663059
35,roberta-large,full,3000,5,None,amazon_p,0.9488,0.003271085446759228,50.75108667046118
36,roberta-large,full,3000,5,None,copa,0.8528,0.007823042886243185,145.27284808691
37,roberta-large,full,3000,5,None,emotion,0.5238999999999999,0.019230184606498186,65.8951005474596
38,roberta-large,full,3000,5,None,figqa,0.7444241316270567,0.01082708418269547,148.66020990381978
39,roberta-large,full,3000,5,None,mrpc,0.713855072463768,0.005805790589474478,225.3312946177537
40,roberta-large,full,3000,5,None,storycloze,0.8890495867768594,0.004479232105098899,124.21795687150677
41,roberta-large,full,3000,5,None,yahoo,0.47759999999999997,0.0026076809620810618,115.87819928582493
