,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,4000,5,None,amazon_p,0.94948,0.003600000000000003,52.414204912313565
1,roberta-large,0,4000,5,None,copa,0.8389599999999999,0.009221713506718812,277.82971519576125
2,roberta-large,0,4000,5,None,emotion,0.48179999999999995,0.05123372912447423,62.38642365963706
3,roberta-large,0,4000,5,None,figqa,0.7368190127970748,0.01835861265446002,276.5790388238844
4,roberta-large,0,4000,5,None,mrpc,0.7180057971014493,0.00874536514207263,257.7264941854654
5,roberta-large,0,4000,5,None,storycloze,0.9167355371900825,0.008379875946559194,145.80518421120746
6,roberta-large,0,4000,5,None,yahoo,0.46372,0.018481883020947835,111.13111031437438
7,roberta-large,32,4000,5,None,amazon_p,0.9475999999999999,0.0052383203414835084,52.54045096712476
8,roberta-large,32,4000,5,None,copa,0.83856,0.011471704319759999,276.4325699123131
9,roberta-large,32,4000,5,None,emotion,0.4747,0.04989388740116367,63.18620082676138
10,roberta-large,32,4000,5,None,figqa,0.7334552102376599,0.01740446360799476,278.7464042390807
11,roberta-large,32,4000,5,None,mrpc,0.7132753623188406,0.0065576467211034325,256.69198895429525
12,roberta-large,32,4000,5,None,storycloze,0.9166528925619835,0.00756886739008851,145.226385849751
13,roberta-large,32,4000,5,None,yahoo,0.47000000000000003,0.016493028830387703,112.35770305500034
14,roberta-large,200,4000,5,None,amazon_p,0.95,0.003706750598570131,52.492781274198386
15,roberta-large,200,4000,5,None,copa,0.84264,0.011103152705425617,278.35252345178367
16,roberta-large,200,4000,5,None,emotion,0.49726,0.041721577151397335,62.889849456064326
17,roberta-large,200,4000,5,None,figqa,0.7389396709323582,0.016850776777773913,274.6603954079183
18,roberta-large,200,4000,5,None,mrpc,0.7180289855072463,0.007764654214610181,259.45417333574113
19,roberta-large,200,4000,5,None,storycloze,0.9126033057851239,0.007256450135882599,145.62584679919092
20,roberta-large,200,4000,5,None,yahoo,0.46816,0.014496896219536091,111.98215061096032
21,roberta-large,500,4000,5,None,amazon_p,0.94876,0.00369052841744919,52.426923669888915
22,roberta-large,500,4000,5,None,copa,0.8406399999999999,0.010718208805579407,278.09580990245655
23,roberta-large,500,4000,5,None,emotion,0.48453999999999997,0.05007434472861327,63.03845007293957
24,roberta-large,500,4000,5,None,figqa,0.7300182815356491,0.015526395325474614,276.0217050802824
25,roberta-large,500,4000,5,None,mrpc,0.7184463768115943,0.00898045673864167,258.0443288457408
26,roberta-large,500,4000,5,None,storycloze,0.9152892561983471,0.007157234742020156,145.46946149626635
27,roberta-large,500,4000,5,None,yahoo,0.46432,0.01722498185775532,112.28404674793694
28,roberta-large,1000,4000,5,None,amazon_p,0.9480000000000001,0.0036331804249169833,52.477926998244605
29,roberta-large,1000,4000,5,None,copa,0.8411199999999999,0.010353743284435831,277.7462675151689
30,roberta-large,1000,4000,5,None,emotion,0.48941999999999997,0.049583868344452504,62.99035523165245
31,roberta-large,1000,4000,5,None,figqa,0.7348446069469835,0.017809725280946452,275.7515879793884
32,roberta-large,1000,4000,5,None,mrpc,0.717031884057971,0.008127941440001268,258.98183486804396
33,roberta-large,1000,4000,5,None,storycloze,0.9154132231404958,0.008115917083224112,145.0781304220251
34,roberta-large,1000,4000,5,None,yahoo,0.46952,0.01541363033162531,112.19995115617596
35,roberta-large,full,4000,5,None,amazon_p,0.94988,0.0034058772731852833,52.36102874950278
36,roberta-large,full,4000,5,None,copa,0.83696,0.009707728879609284,273.8716668628639
37,roberta-large,full,4000,5,None,emotion,0.4835999999999999,0.04770151989192797,62.731851284961714
38,roberta-large,full,4000,5,None,figqa,0.7293235831809872,0.015674751138715536,277.31417957196993
39,roberta-large,full,4000,5,None,mrpc,0.7193275362318842,0.007542026757566314,257.6841340299559
40,roberta-large,full,4000,5,None,storycloze,0.915206611570248,0.008131681262047278,145.55021247139632
41,roberta-large,full,4000,5,None,yahoo,0.46592,0.015057224179774967,111.44640427603528
